80000	"Neoplasm, benign"
80001	"Neoplasm, uncertain whether benign or malignant"
80003	"Neoplasm, malignant"
80006	"Neoplasm, metastatic"
80010	"Tumour cells, benign"
80011	"Tumour cells, uncertain whether benign or malignant"
80013	"Tumour cells, malignant"
80023	"Malignant tumour, small cell type"
80033	"Malignant tumour, giant cell type"
80043	"Malignant tumour, fusiform cell type"
80100	"Epithelial tumour, benign"
80102	Carcinoma in situ NOS
80103	Carcinoma NOS
80106	"Carcinoma, metastatic NOS"
80110	"Epithelioma, benign"
80113	"Epithelioma, malignant"
80123	Large cell carcinoma NOS
80203	"Carcinoma, undifferentiated NOS"
80213	"Carcinoma, anaplastic NOS"
80223	Pleomorphic carcinoma
80303	Giant cell and spindle cell carcinoma
80313	Giant cell carcinoma
80323	Spindle cell carcinoma
80333	Pseudosarcomatous carcinoma
80343	Polygonal cell carcinoma
80401	Tumorlet
80413	Small cell carcinoma NOS
80423	Oat cell carcinoma
80433	"Small cell carcinoma, fusiform cell"
80443	"Small cell carcinoma, intermediate cell"
80453	Small cell-large cell carcinoma
80500	Papilloma NOS
80502	Papillary carcinoma in situ
80503	Papillary carcinoma NOS
80510	Verrucous papilloma
80513	Verrucous carcinoma NOS
80520	Squamous cell papilloma
80523	Papillary squamous cell carcinoma
80530	Inverted papilloma
80600	Papillomatosis NOS
80702	Squamous cell carcinoma in situ NOS
80703	Squamous cell carcinoma NOS
80706	"Squamous cell carcinoma, metastatic NOS"
80713	"Squamous cell carcinoma, keratinizing NOS"
80723	"Squamous cell carcinoma, large cell, nonkeratinizing"
80733	"Squamous cell carcinoma, small cell, nonkeratinizing"
80743	"Squamous cell carcinoma, spindle cell"
80753	Adenoid squamous cell carcinoma
80762	Squamous cell carcinoma in situ with questionable stromal invasion
80763	"Squamous cell carcinoma, microinvasive"
80772	"Intraepithelial neoplasia, grade III, of cervix, vulva and vagina"
80802	Queyrat's erythroplasia
80812	Bowen's disease
80823	Lymphoepithelial carcinoma
80901	Basal cell tumour
80903	Basal cell carcinoma NOS
80913	Multicentric basal cell carcinoma
80923	"Basal cell carcinoma, morphoea"
80933	"Basal cell carcinoma, fibroepithelial"
80943	Basosquamous carcinoma
80953	Metatypical carcinoma
80960	Intraepidermal epithelioma of Jadassohn
81000	Trichoepithelioma
81010	Trichofolliculoma
81020	Tricholemmoma
81100	Pilomatrixoma NOS
81103	Pilomatrix carcinoma
81200	Transitional cell papilloma NOS
81201	Urothelial papilloma
81202	Transitional cell carcinoma in situ
81203	Transitional cell carcinoma NOS
81210	Schneiderian papilloma
81211	"Transitional cell papilloma, inverted"
81213	Schneiderian carcinoma
81223	"Transitional cell carcinoma, spindle cell"
81233	Basaloid carcinoma
81243	Cloacogenic carcinoma
81303	Papillary transitional cell carcinoma
81400	Adenoma NOS
81401	Bronchial adenoma NOS
81402	Adenocarcinoma in situ NOS
81403	Adenocarcinoma NOS
81406	"Adenocarcinoma, metastatic NOS"
81413	Scirrhous adenocarcinoma
81423	Linitis plastica
81433	Superficial spreading adenocarcinoma
81443	"Adenocarcinoma, intestinal type"
81453	"Carcinoma, diffuse type"
81460	Monomorphic adenoma
81470	Basal cell adenoma
81473	Basal cell adenocarcinoma
81500	Islet cell adenoma
81503	Islet cell carcinoma
81510	Insulinoma NOS
81513	"Insulinoma, malignant"
81520	Glucagonoma NOS
81523	"Glucagonoma, malignant"
81531	Gastrinoma NOS
81533	"Gastrinoma, malignant"
81543	Mixed islet cell and exocrine adenocarcinoma
81553	Vipoma
81600	Bile duct adenoma
81603	Cholangiocarcinoma
81610	Bile duct cystadenoma
81613	Bile duct cystadenocarcinoma
81623	Klatskin's tumour
81700	Liver cell adenoma
81703	Hepatocellular carcinoma NOS
81713	"Hepatocellular carcinoma, fibrolamellar"
81803	Combined hepatocellular carcinoma and cholangiocarcinoma
81900	Trabecular adenoma
81903	Trabecular adenocarcinoma
81910	Embryonal adenoma
82000	Eccrine dermal cylindroma
82003	Adenoid cystic carcinoma
82013	Cribriform carcinoma
82020	Microcystic adenoma
82100	Adenomatous polyp NOS
82102	Adenocarcinoma in situ in adenomatous polyp
82103	Adenocarcinoma in adenomatous polyp
82110	Tubular adenoma NOS
82113	Tubular adenocarcinoma
82200	Adenomatous polyposis coli
82203	Adenocarcinoma in adenomatous polyposis coli
82210	Multiple adenomatous polyps
82213	Adenocarcinoma in multiple adenomatous polyps
82303	Solid carcinoma NOS
82313	Carcinoma simplex
82401	"Carcinoid tumour NOS, of appendix"
82403	Carcinoid tumour NOS
82411	"Carcinoid tumour, argentaffin NOS"
82413	"Carcinoid tumour, argentaffin, malignant"
82433	Goblet cell carcinoid
82443	Composite carcinoid
82453	Adenocarcinoid tumour
82463	Neuroendocrine carcinoma
82473	Merkel cell carcinoma
82481	Apudoma
82501	Pulmonary adenomatosis
82503	Bronchiolo-alveolar adenocarcinoma
82510	Alveolar adenoma
82513	Alveolar adenocarcinoma
82600	Papillary adenoma NOS
82603	Papillary adenocarcinoma NOS
82611	Villous adenoma NOS
82612	Adenocarcinoma in situ in villous adenoma
82613	Adenocarcinoma in villous adenoma
82623	Villous adenocarcinoma
82630	Tubulovillous adenoma NOS
82632	Adenocarcinoma in situ in tubulovillous adenoma
82633	Adenocarcinoma in tubulovillous adenoma
82700	Chromophobe adenoma
82703	Chromophobe carcinoma
82710	Prolactinoma
82800	Acidophil adenoma
82803	Acidophil carcinoma
82810	Mixed acidophil-basophil adenoma
82813	Mixed acidophil-basophil carcinoma
82900	Oxyphilic adenoma
82903	Oxyphilic adenocarcinoma
83000	Basophil adenoma
83003	Basophil carcinoma
83100	Clear cell adenoma
83103	Clear cell adenocarcinoma NOS
83111	Hypernephroid tumour
83123	Renal cell carcinoma
83130	Clear cell adenofibroma
83143	Lipid-rich carcinoma
83153	Glycogen-rich carcinoma
83203	Granular cell carcinoma
83210	Chief cell adenoma
83220	Water-clear cell adenoma
83223	Water-clear cell adenocarcinoma
83230	Mixed cell adenoma
83233	Mixed cell adenocarcinoma
83240	Lipoadenoma
83300	Follicular adenoma
83303	Follicular adenocarcinoma NOS
83313	"Follicular adenocarcinoma, well differentiated"
83323	"Follicular adenocarcinoma, trabecular"
83330	Microfollicular adenoma
83340	Macrofollicular adenoma
83403	"Papillary carcinoma, follicular variant"
83503	Nonencapsulated sclerosing carcinoma
83601	Multiple endocrine adenomas
83611	Juxtaglomerular tumour
83700	Adrenal cortical adenoma NOS
83703	Adrenal cortical carcinoma
83710	"Adrenal cortical adenoma, compact cell"
83720	"Adrenal cortical adenoma, heavily pigmented variant"
83730	"Adrenal cortical adenoma, clear cell"
83740	"Adrenal cortical adenoma, glomerulosa cell"
83750	"Adrenal cortical adenoma, mixed cell"
83800	Endometrioid adenoma NOS
83801	"Endometrioid adenoma, borderline malignancy"
83803	Endometrioid carcinoma
83810	Endometrioid adenofibroma NOS
83811	"Endometrioid adenofibroma, borderline malignancy"
83813	"Endometrioid adenofibroma, malignant"
83900	Skin appendage adenoma
83903	Skin appendage carcinoma
84000	Sweat gland adenoma
84001	Sweat gland tumour NOS
84003	Sweat gland adenocarcinoma
84010	Apocrine adenoma
84013	Apocrine adenocarcinoma
84020	Eccrine acrospiroma
84030	Eccrine spiradenoma
84040	Hidrocystoma
84050	Papillary hidradenoma
84060	Papillary syringadenoma
84070	Syringoma NOS
84080	Eccrine papillary adenoma
84100	Sebaceous adenoma
84103	Sebaceous adenocarcinoma
84200	Ceruminous adenoma
84203	Ceruminous adenocarcinoma
84301	Mucoepidermoid tumour
84303	Mucoepidermoid carcinoma
84400	Cystadenoma NOS
84403	Cystadenocarcinoma NOS
84410	Serous cystadenoma NOS
84413	Serous cystadenocarcinoma NOS
84423	"Serous cystadenoma, borderline malignancy"
84500	Papillary cystadenoma NOS
